names,logfoldchanges,pvals_adj
HULC,9.905605,4.68262913094901e-70
FDCSP,8.76603,0.0
IGLV7-46,7.8051014,6.622231986215052e-28
IGHV2-26,7.776555,2.90681169773796e-12
MARCO,5.9040217,6.433712507990342e-225
GAL,5.4832354,1.072186832294266e-222
IGLV2-18,5.308105,1.1423925070886238e-11
IGLV2-8,5.121139,2.096346934683864e-07
IGLV3-9,4.954602,9.66651807601422e-11
SCG5,4.758325,2.6791269709835885e-08
BCL2A1,4.7132154,3.157253399557839e-36
IGHV3-15,4.6574903,1.022208031301454e-10
VCAM1,4.565502,1.3951096059844617e-25
IGLV6-57,4.3557563,3.87405086697332e-14
IGHV3-53,4.2516246,5.814382614963648e-09
IGHV3-66,4.107782,1.9112736946639506e-07
CPM,4.0132117,2.8277582902423525e-42
IGLV1-51,3.9662726,1.9327182781196641e-53
IGLV2-11,3.900466,2.846132329765217e-19
PRSS2,3.8184648,0.0081883469572301
CXCL13,3.7405376,0.0001364641166981
IGKV1-6,3.7059953,0.0002572489693958
RP1-60O19.1,3.6666827,3.2293481162326147e-55
IGHV4-34,3.660188,2.6479166805102338e-17
IRF8,3.5722108,0.003802992609397
CDKN2A,3.4984832,4.2461793426180894e-248
IGHV3-11,3.3927152,1.876693346988848e-05
GABRP,3.2821314,8.96319057050408e-150
BCL2,3.2323902,2.584381228735661e-17
IGKV1-5,3.2290094,3.6705774379857116e-178
IGHV5-51,3.194881,5.1258013745593065e-08
RAMP2,3.186454,7.519486883112726e-09
CD8A,3.16531,0.0026773817660579
NSMCE4A,2.9312825,4.57579922567026e-139
NKG7,2.9171135,1.5547268453062035e-05
MPZ,2.905862,2.407370636456437e-10
DLK1,2.891058,1.9575809826308308e-56
IGLV3-19,2.889734,2.5066413714380075e-20
CXCL9,2.8029976,0.0068054543821846
APBA2,2.8015668,0.0004664372955861
CCL4,2.7905135,1.346724064430985e-09
IGKV1-16,2.7838888,7.719962726391322e-05
IGLV3-25,2.679818,9.66104201386344e-59
IGLV2-14,2.6664686,1.1512940218662849e-45
IL12RB2,2.6351757,0.002007026398355
JCHAIN,2.5928068,3.2806496472124014e-17
CSRP2,2.5673547,1.0700951470060389e-163
CXCL10,2.4998567,4.126170363702804e-32
IGLV3-1,2.4628143,8.818911522783426e-30
C1QC,2.4125435,6.210639875058877e-08
C1QB,2.3867466,1.694111699915513e-09
MT1G,2.2649243,2.742033781555282e-16
CRABP1,2.2540681,2.842407968530714e-60
IGLV3-21,2.2190104,7.868181841477429e-14
IGLV1-47,2.1874182,1.3858786846716358e-10
CD83,2.171704,2.359341341737389e-11
DAPP1,2.1343994,1.860118401331636e-05
PLTP,2.1080236,2.4227530008139954e-38
IGHV3-30,2.0971613,7.007315274095844e-09
C1QA,2.0804503,0.0001652491949078
DKK1,2.0477867,2.492907714934897e-35
VIM,2.0278306,9.521762636206969e-119
UBD,1.9992445,1.1031655376546477e-07
LYZ,1.9594197,1.2081302513812313e-08
AQP1,1.9284301,3.1169016675936875e-10
MT1E,1.8841236,1.9038029091848878e-48
RGS16,1.8775109,7.443552091299696e-08
GPM6B,1.8157445,2.843202720383687e-23
S100A1,1.711875,1.5091940145162415e-31
IGKV3-11,1.7053218,1.7259144214471734e-48
FBLN1,1.7020844,4.722216621556413e-18
IGLV1-44,1.6806468,3.813628812664523e-07
RP11-290D2.6,1.6783613,0.0008677656007444
IGHV1-18,1.658511,7.769388339506854e-05
ACTG2,1.61586,2.269615375599888e-10
IGHV3-23,1.5946337,1.0244420781225613e-06
ODAM,1.514595,0.0011783772815562
