names,logfoldchanges,pvals_adj
FOXS1,9.381495,6.964027974603438e-35
NEFL,8.400235,7.284290498003137e-32
TMEM119,8.180495,3.7680612816553936e-98
COL5A3,8.135363,2.207715316850247e-46
NID2,7.702834,6.557583084455771e-23
DKK3,7.6696763,2.687161975436529e-240
RP11-865I6.2,7.595997,1.5502616676477604e-228
IL13RA2,7.505844,6.143919733581189e-20
OLFML2B,6.9596696,1.5847276265611684e-81
FHL1,6.8751087,4.1324145923012145e-155
ADAMTS14,6.8470683,1.7592317691308838e-21
PDE1A,6.72464,7.949172148944273e-06
THY1,6.551367,1.4165163191424082e-116
CSPG4,6.522381,5.5788263102467447e-70
EMILIN1,6.4598923,5.428611917491675e-144
LRRC17,6.410754,2.3237935260195645e-59
COL5A2,6.370084,3.81572450985727e-148
PDGFRB,6.3681746,9.292339247298113e-50
KCNJ8,6.352389,7.290920850124406e-05
COL6A3,6.2886376,4.7318165436125775e-205
HSPB8,6.1522393,2.0442956760108134e-91
SERPINE1,6.1107206,1.2408560946557495e-236
BGN,6.100504,3.503260345999666e-267
CTSK,6.025411,8.911286293295921e-215
COL1A2,6.015565,1.2775016855703213e-269
COL6A1,5.953155,2.086873122987628e-290
PDPN,5.912733,5.017851861619982e-19
CD70,5.858536,4.252576763245542e-171
COL6A2,5.803215,2.6664175058364944e-270
LDB2,5.799477,6.43094886849578e-17
HTRA1,5.774691,1.3264612804762552e-110
IGFBP6,5.7707143,3.8724146850854e-183
TIMP4,5.723829,2.16955489575798e-69
ADAM12,5.636528,9.589498321310851e-118
LAYN,5.627664,1.1724168219789384e-73
ZDBF2,5.607499,6.273759190351316e-10
CXCL12,5.606995,7.833606027984727e-38
MATN3,5.5928636,4.140184353562241e-19
MFAP4,5.5412054,4.988189708575597e-24
ARC,5.5072207,4.534794054732409e-45
CARMN,5.4806213,0.0001377690035346
TSPAN7,5.473604,8.713713126154473e-20
PCOLCE,5.470594,7.744285214569517e-245
AFP,5.419776,2.538516401272441e-29
FBN1,5.412224,1.0364773036339223e-121
TBX2,5.361396,1.7399081469973788e-10
GJC1,5.3368073,2.845066747194159e-21
PLAC9,5.2812386,2.780944222098041e-13
RGS4,5.2606845,7.796216255341965e-33
SDPR,5.228561,1.0109027442890344e-16
ENPP2,5.2104626,1.1791117160348045e-15
ABCC9,5.176346,1.1121571914030087e-06
COL3A1,5.1234045,2.4238640884903915e-112
VIM,5.1184626,0.0
