names,logfoldchanges,pvals_adj
DLK1,6.4518914,2.6459135224497017e-106
CD24,4.295079,1.3318052195159733e-71
MUCL1,4.0090137,4.433863126041239e-47
RP11-206M11.7,3.0308056,1.5045230436795194e-52
IL20,2.9630947,1.0862037573347405e-05
LINC01285,2.887692,9.85044469552974e-45
FABP7,2.8734312,9.735045322271505e-50
FOS,2.8091784,4.83365865038243e-57
C6orf203,2.7919073,1.1201162633106177e-56
BAMBI,2.7724936,7.389563798102923e-51
TMC5,2.6556509,1.263343955657425e-46
APOD,2.6430852,4.0577559548983817e-35
MT-ND4L,2.5876524,1.9304442659806918e-28
FOXA1,2.4567306,6.526167240234193e-26
ANXA2R,2.3927379,2.799656152975219e-17
TFF3,2.3503933,5.978144365967801e-38
RND1,2.28973,3.174038285226782e-15
MT-CO2,2.1263254,1.4518944899493352e-48
DUSP10,2.1213007,6.031286186527317e-08
TDO2,2.014049,2.956367735586142e-13
PDLIM3,1.9769142,7.685819058076121e-15
TFF1,1.9414176,0.0084894356542888
TSPAN8,1.932074,0.0021157314647784
DNAJA4,1.8933098,4.6003094419159854e-09
ZFP36,1.8461782,1.1231673039768557e-29
IGFBP5,1.8216779,2.4141043440999643e-21
EDN1,1.7966106,2.182943160409105e-13
MALAT1,1.7506679,1.1755528463321708e-17
AZGP1,1.7401159,4.8787414676316656e-24
RASL11A,1.7275941,0.0029041787149117
IGKV3-15,1.5963964,2.3604343404412363e-22
EGLN3,1.5716801,1.5687944494320977e-21
