Cluster,Target_Gene,Drug_Name,Interaction_Score,Type,Source
EMT,ACTG2,CXCL13,52.20379855888553,['agonist'],['GuideToPharmacology']
EMT,C1QA,THERAPEUTIC IMMUNE GLOBULIN,52.20379855888553,[],['TEND']
EMT,CRABP1,TFC007,26.10189927944276,['inhibitor'],['GuideToPharmacology']
EMT,CD8A,PHLORIZIN,26.10189927944276,['inhibitor'],['GuideToPharmacology']
EMT,DLK1,GDC-0134,26.10189927944276,[],['TTD']
EMT,VIM,GANGLIOSIDE GM2,20.88151942355421,[],['NCI']
EMT,CRABP1,4-(BENZHYDRYLOXY)-1-[3-(1H-TETRAAZOL-5-YL)PROPYL]PIPERIDINE,13.05094963972138,['inhibitor'],['GuideToPharmacology']
EMT,CSRP2,CCG258747,13.05094963972138,['inhibitor'],['GuideToPharmacology']
EMT,DKK1,BHQ-880,11.60084412419678,['inhibitor'],"['TTD', 'ChEMBL']"
EMT,VIM,PRITUMUMAB,10.4407597117771,['other/unknown'],['ChEMBL']
EMT,MT1G,BUTHIONINE SULFOXIMINE,10.4407597117771,[],['NCI']
EMT,IL12RB2,AS1409,8.700633093147589,[],['TdgClinicalTrial']
EMT,BCL2A1,ZINC PROTOPORPHYRIN IX,8.700633093147589,['inhibitor'],['GuideToPharmacology']
EMT,BCL2A1,PROTOPORPHYRIN IX CONTAINING CO,8.700633093147589,['inhibitor'],['GuideToPharmacology']
EMT,RAMP2,PRAMLINTIDE,7.457685508412219,[],"['TEND', 'TdgClinicalTrial']"
EMT,MT1E,ACETYLCYSTEINE,6.960506474518071,[],['NCI']
EMT,CSRP2,COMPOUND 101 [PMID: 21596927],6.525474819860691,['inhibitor'],['GuideToPharmacology']
EMT,CD83,RECOMBINANT CD40-LIGAND,6.525474819860691,[],['NCI']
EMT,RAMP2,PRAMLINTIDE ACETATE,6.525474819860691,['agonist'],['ChEMBL']
EMT,CXCL10,IROPLACT,6.141623359868886,[],['NCI']
EMT,CXCL10,ELDELUMAB,6.141623359868886,[],"['TTD', 'TdgClinicalTrial']"
EMT,CXCL10,NI-0801,6.141623359868886,['inhibitor'],"['TTD', 'ChEMBL']"
EMT,PRSS2,CYANOPEPTOLIN SS,5.800422062098392,[],['DTC']
EMT,PRSS2,CYANOPEPTOLIN S,5.800422062098392,[],['DTC']
EMT,DKK1,DKN-01,5.800422062098392,['inhibitor'],['ChEMBL']
EMT,DKK1,LEVOLEUCOVORIN,5.800422062098392,[],['CIViC']
EMT,PLTP,ALPHA-TOCOPHEROL,4.745799868989594,[],['NCI']
EMT,CSRP2,COMPOUND 1O [PMID: 24210504],4.350316546573794,['inhibitor'],['GuideToPharmacology']
EMT,IL12RB2,DENILEUKIN DIFTITOX,4.350316546573794,[],['TdgClinicalTrial']
EMT,PLTP,VITAMIN E,4.350316546573794,[],['NCI']
EMT,BCL2A1,HEME,4.350316546573794,['agonist'],['GuideToPharmacology']
EMT,SCG5,HISTONE DEACETYLASE INHIBITOR,3.866948041398928,[],['NCI']
EMT,CCL4,CLODRONIC ACID,3.163866579326396,[],['NCI']
EMT,CXCL10,ELDELUMAB,3.070811679934443,['inhibitor'],['ChEMBL']
EMT,GPM6B,ASP2453,3.070811679934443,['inhibitor'],['GuideToPharmacology']
