Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Classical Antibody-Mediated Complement Activation R-HSA-173623,3/6,1.088205758812529e-06,0.0001893478020333801,0,0,269.1891891891892,3696.231456651824,C1QB;C1QA;C1QC
Reactome_2022,Creation Of C4 And C2 Activators R-HSA-166786,3/14,1.9370903614995697e-05,0.0016852686145046,0,0,73.38574938574939,796.3629569265256,C1QB;C1QA;C1QC
Reactome_2022,Chemokine Receptors Bind Chemokines R-HSA-380108,4/56,6.407404052178028e-05,0.003019693678702,0,0,20.938883034773447,202.174783361383,CXCL10;CXCL9;CCL4;CXCL13
Reactome_2022,Initial Triggering Of Complement R-HSA-166663,3/21,6.941824548740276e-05,0.003019693678702,0,0,44.83108108108108,429.27377737948746,C1QB;C1QA;C1QC
Reactome_2022,G Alpha (I) Signaling Events R-HSA-418594,7/312,0.00019862000078619887,0.0069119760273597,0,0,6.432131147540984,54.82823912047488,CXCL10;CXCL9;GAL;RGS16;UBD;CCL4;CXCL13
Reactome_2022,Regulation Of Complement Cascade R-HSA-977606,3/45,0.0006930588843394041,0.0195566793953699,0,0,19.19015444015444,139.59677487304688,C1QB;C1QA;C1QC
Reactome_2022,Metallothioneins Bind Metals R-HSA-5661231,2/11,0.000786762964181551,0.0195566793953699,0,0,59.004444444444445,421.7391961345213,MT1G;MT1E
Reactome_2022,Peptide Ligand-Binding Receptors R-HSA-375276,5/196,0.0009584869573339272,0.0208470913220129,0,0,7.174229203025014,49.86200211797359,CXCL10;CXCL9;GAL;CCL4;CXCL13
Reactome_2022,Complement Cascade R-HSA-166658,3/55,0.0012464760668206,0.0224812606643759,0,0,15.491943866943869,103.60136539508392,C1QB;C1QA;C1QC
Reactome_2022,Response To Metal Ions R-HSA-5660526,2/14,0.0012920264749641,0.0224812606643759,0,0,44.24666666666667,294.3086228587469,MT1G;MT1E
Reactome_2022,GPCR Ligand Binding R-HSA-500792,7/458,0.001908644326717,0.0301912829862515,0,0,4.317516629711752,27.033534842538355,CXCL10;CXCL9;RAMP2;GAL;UBD;CCL4;CXCL13
Reactome_2022,GPCR Downstream Signaling R-HSA-388396,8/619,0.0025923065930617,0.037588445599396,0,0,3.6646030503569818,21.823470555378734,CXCL10;CXCL9;RAMP2;GAL;RGS16;UBD;CCL4;CXCL13
Reactome_2022,Signaling By GPCR R-HSA-372790,8/689,0.0049509846259877,0.0662670249939904,0,0,3.276000766136756,17.389565081271673,CXCL10;CXCL9;RAMP2;GAL;RGS16;UBD;CCL4;CXCL13
Reactome_2022,Immune System R-HSA-168256,15/1943,0.0066316871075624,0.0824223969082766,0,0,2.258106344532191,11.326426674733758,C1QB;C1QA;VCAM1;S100A1;DAPP1;LYZ;CXCL10;CD8A;CCL4;BCL2;IRF8;VIM;PRSS2;IL12RB2;C1QC
Reactome_2022,Signaling By Interleukins R-HSA-449147,6/453,0.0079993238421007,0.0877934258284826,0,0,3.682011532280934,17.77821807801749,CXCL10;VCAM1;CCL4;BCL2;VIM;IL12RB2
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,3/107,0.0081753747197978,0.0877934258284826,0,0,7.725701663201663,37.13457954258208,VCAM1;BCL2;VIM
Reactome_2022,Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,5/327,0.0085775186154264,0.0877934258284826,0,0,4.227268806073154,20.115926204463232,CXCL10;CXCL9;GAL;CCL4;CXCL13
Reactome_2022,Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,2/41,0.0108867636641719,0.1052387154203285,0,0,13.595897435897436,61.45627851605956,MARCO;JCHAIN
Reactome_2022,Interleukin-10 Signaling R-HSA-6783783,2/45,0.0130143056218329,0.1191836409578389,0,0,12.328682170542637,53.52751451211471,CXCL10;CCL4
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,7/702,0.0183572002952512,0.157803245912856,0,0,2.766618705035971,11.060203987753264,CXCL10;VCAM1;CCL4;BCL2;IRF8;VIM;IL12RB2
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,2/55,0.0190452193343102,0.157803245912856,0,0,9.99748427672956,39.59942699800677,CDKN2A;BCL2
Reactome_2022,Signaling By LRP5 Mutants R-HSA-5339717,1/6,0.0228814709747458,0.1809716340729899,0,0,52.41578947368421,197.99686155819643,DKK1
Reactome_2022,Alpha-defensins R-HSA-1462054,1/8,0.030393210313471,0.2124368807154248,0,0,37.43609022556391,130.7843304171733,PRSS2
Reactome_2022,Apoptosis R-HSA-109581,3/178,0.0313834882044093,0.2124368807154248,0,0,4.574826254826255,15.835639288867332,CDKN2A;BCL2;VIM
Reactome_2022,"POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245",1/9,0.0341276784519277,0.2124368807154248,0,0,32.754934210526315,110.63459017539785,DKK1
Reactome_2022,BH3-only Proteins Associate With And Inactivate Anti-Apoptotic BCL-2 Members R-HSA-111453,1/9,0.0341276784519277,0.2124368807154248,0,0,32.754934210526315,110.63459017539785,BCL2
Reactome_2022,SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,2/76,0.0347120746756412,0.2124368807154248,0,0,7.152792792792793,24.03815955472908,NSMCE4A;CDKN2A
Reactome_2022,Amyloid Fiber Formation R-HSA-977225,2/79,0.0372507763126795,0.2124368807154248,0,0,6.873073593073593,22.61297910692913,ODAM;LYZ
Reactome_2022,HDL Remodeling R-HSA-8964058,1/10,0.0378479500125182,0.2124368807154248,0,0,29.114035087719294,95.32454660857232,PLTP
Reactome_2022,Calcitonin-like Ligand Receptors R-HSA-419812,1/10,0.0378479500125182,0.2124368807154248,0,0,29.114035087719294,95.32454660857232,RAMP2
Reactome_2022,RUNX3 Regulates p14-ARF R-HSA-8951936,1/10,0.0378479500125182,0.2124368807154248,0,0,29.114035087719294,95.32454660857232,CDKN2A
Reactome_2022,Interleukin-35 Signaling R-HSA-8984722,1/12,0.045246115804659,0.2163543026445375,0,0,23.818181818181817,73.7324794714548,IL12RB2
Reactome_2022,Scavenging Of Heme From Plasma R-HSA-2168880,1/12,0.045246115804659,0.2163543026445375,0,0,23.818181818181817,73.7324794714548,JCHAIN
Reactome_2022,Caspase-mediated Cleavage Of Cytoskeletal Proteins R-HSA-264870,1/12,0.045246115804659,0.2163543026445375,0,0,23.818181818181817,73.7324794714548,VIM
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,2/89,0.0462026258184757,0.2163543026445375,0,0,6.08,18.694289371399737,LYZ;PRSS2
Reactome_2022,Interferon Gamma Signaling R-HSA-877300,2/89,0.0462026258184757,0.2163543026445375,0,0,6.08,18.694289371399737,VCAM1;IRF8
Reactome_2022,Programmed Cell Death R-HSA-5357801,3/208,0.0463003473150912,0.2163543026445375,0,0,3.899406723796968,11.981339780485444,CDKN2A;BCL2;VIM
Reactome_2022,Signal Transduction R-HSA-162582,15/2465,0.0472497902327151,0.2163543026445375,0,0,1.725444371296906,5.26658604403467,CXCL9;RAMP2;RGS16;CRABP1;CXCL13;DKK1;DLK1;CXCL10;GAL;MPZ;UBD;CCL4;BCL2;VIM;PLTP
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,1/14,0.0525881307391528,0.2346239679131436,0,0,20.15182186234818,59.35245231348692,MPZ
Reactome_2022,Activation Of BAD And Translocation To Mitochondria R-HSA-111447,1/15,0.0562382130645868,0.2386694895911734,0,0,18.711466165413533,53.854571105438765,BCL2
Reactome_2022,Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470,1/15,0.0562382130645868,0.2386694895911734,0,0,18.711466165413533,53.854571105438765,DKK1
Reactome_2022,MyD88 Deficiency (TLR2/4) R-HSA-5602498,1/17,0.0634967886050346,0.2617413811802688,0,0,16.370888157894736,45.13070700420213,S100A1
Reactome_2022,Regulation Of TLR By Endogenous Ligand R-HSA-5686938,1/18,0.0671053857579431,0.2617413811802688,0,0,15.407120743034056,41.62219761611141,S100A1
Reactome_2022,IRAK4 Deficiency (TLR2/4) R-HSA-5603041,1/18,0.0671053857579431,0.2617413811802688,0,0,15.407120743034056,41.62219761611141,S100A1
Reactome_2022,SUMOylation Of Transcription Factors R-HSA-3232118,1/19,0.0707002581349002,0.2617413811802688,0,0,14.550438596491228,38.54856507595181,CDKN2A
Reactome_2022,Scavenging By Class A Receptors R-HSA-3000480,1/19,0.0707002581349002,0.2617413811802688,0,0,14.550438596491228,38.54856507595181,MARCO
Reactome_2022,Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371,1/19,0.0707002581349002,0.2617413811802688,0,0,14.550438596491228,38.54856507595181,BCL2A1
Reactome_2022,Apoptotic Factor-Mediated Response R-HSA-111471,1/20,0.0742814572247087,0.2692702824395691,0,0,13.78393351800554,35.8367650118558,CDKN2A
Reactome_2022,Inflammasomes R-HSA-622312,1/21,0.0778490343477394,0.2727331599182239,0,0,13.094078947368422,33.42897122939319,BCL2
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,3/260,0.0789174867566502,0.2727331599182239,0,0,3.102218950467978,7.8776272730435055,CRABP1;BCL2;PLTP
Reactome_2022,RA Biosynthesis Pathway R-HSA-5365859,1/22,0.0814030405988153,0.2727331599182239,0,0,12.469924812030076,31.278844284190207,CRABP1
Reactome_2022,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,2/123,0.0815064615847565,0.2727331599182239,0,0,4.364077134986226,10.941059861778916,VCAM1;CD8A
Reactome_2022,RHOBTB1 GTPase Cycle R-HSA-9013422,1/23,0.0849435269348037,0.2788712016350161,0,0,11.902511961722489,29.348840640770707,VIM
Reactome_2022,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/24,0.08847054408079,0.2798886303646811,0,0,11.384439359267734,27.608240154776084,CDKN2A
Reactome_2022,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,1/24,0.08847054408079,0.2798886303646811,0,0,11.384439359267734,27.608240154776084,BCL2
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,3/291,0.1020340546710539,0.297330867073778,0,0,2.763935810810811,6.308541565864361,VCAM1;FBLN1;PRSS2
Reactome_2022,Molecules Associated With Elastic Fibres R-HSA-2129379,1/28,0.1024449292224239,0.297330867073778,0,0,9.695906432748538,22.091443130442507,FBLN1
Reactome_2022,Innate Immune System R-HSA-168249,7/1035,0.1031022750744229,0.297330867073778,0,0,1.8380350194552528,4.176077729350529,C1QB;C1QA;S100A1;BCL2;LYZ;PRSS2;C1QC
