Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,46/291,5.4362344891038253e-42,2.3973794096947867e-39,0,0,23.8412403922608,2265.2870730886325,COL18A1;PCOLCE2;LAMA2;COL14A1;LAMA4;SERPINE1;COL12A1;HTRA1;NID1;NID2;LOXL1;ADAMTS14;CTSL;ADAMTS1;CTSK;TIMP1;DST;LUM;MMP2;FN1;BGN;LAMB1;PCOLCE;HSPG2;DCN;COL1A1;ADAM19;MMP11;MFAP4;COL3A1;VCAN;COL1A2;COL5A1;LOX;COL4A1;COL5A3;COL6A2;ADAM12;COL5A2;COL6A1;MFAP2;MMP19;COL6A3;COL8A1;MATN3;FBN1
Reactome_2022,Collagen Formation R-HSA-1474290,22/90,9.066595099024074e-25,1.9991842193348084e-22,0,0,35.864507600793125,1985.460235857402,COL18A1;DST;PCOLCE2;COL14A1;LAMA4;COL12A1;PCOLCE;LOXL1;COL1A1;ADAMTS14;COL3A1;COL1A2;LOX;COL5A1;CTSL;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL6A3;COL8A1
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,18/57,1.0124780122894711e-22,1.4883426780655222e-20,0,0,50.11242603550296,2537.917319240101,COL18A1;DST;LAMA4;PCOLCE;LOXL1;COL1A1;COL3A1;COL1A2;LOX;COL5A1;CTSL;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL6A3;COL8A1
Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,17/67,1.0910587804368389e-19,1.2028923054316149e-17,0,0,36.69398907103825,1602.1317833604126,COL18A1;PCOLCE2;COL14A1;COL12A1;PCOLCE;COL1A1;ADAMTS14;COL3A1;COL1A2;COL5A1;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL6A3;COL8A1
Reactome_2022,Collagen Chain Trimerization R-HSA-8948216,14/44,5.575664311229018e-18,4.917735922503994e-16,0,0,49.60215053763441,1970.600198969805,COL18A1;COL14A1;COL12A1;COL1A1;COL3A1;COL1A2;COL5A1;COL4A1;COL5A3;COL6A2;COL5A2;COL6A1;COL6A3;COL8A1
Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,16/109,1.4410535109470704e-14,1.0591743305460969e-12,0,0,18.426367461430576,587.2633825924195,COL18A1;COL14A1;MMP2;LAMA4;COL12A1;HTRA1;LAMB1;NID1;HSPG2;DCN;MMP11;ADAMTS1;CTSL;CTSK;MMP19;TIMP1
Reactome_2022,ECM Proteoglycans R-HSA-3000178,10/55,1.578265272592117e-10,9.943071217330338e-09,0,0,23.105263157894736,521.4748055736762,VCAN;LAMA2;LUM;LAMA4;SERPINE1;BGN;LAMB1;HSPG2;DCN;MATN3
Reactome_2022,Laminin Interactions R-HSA-3000157,7/22,1.351695293815181e-09,7.451220307156185e-08,0,0,47.83937823834197,976.971297878164,COL18A1;LAMA2;LAMA4;LAMB1;NID1;HSPG2;NID2
Reactome_2022,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,12/123,3.916513936418507e-09,1.9190918288450682e-07,0,0,11.322024151811386,219.17246679006465,IL6;VCAN;CSF1;MMP2;FN1;IGFBP7;LAMB1;IGFBP6;TIMP1;PRSS23;MATN3;FBN1
Reactome_2022,Collagen Degradation R-HSA-1442490,8/40,5.080185722488982e-09,2.2403619036176413e-07,0,0,25.73958333333333,491.5724522783352,COL18A1;MMP11;COL14A1;CTSL;CTSK;MMP2;COL12A1;MMP19
