Unnamed: 0,group,names,scores,logfoldchanges,pvals,pvals_adj
0,Luminal-like,FOS,57.72156,3.4884655,0.0,0.0
1,Luminal-like,MUCL1,53.578396,5.390509,0.0,0.0
2,Luminal-like,ZFP36,49.22704,2.9625869,0.0,0.0
3,Luminal-like,CD24,48.67528,3.8678799,0.0,0.0
4,Luminal-like,MALAT1,46.368023,2.6302233,0.0,0.0
5,Luminal-like,TMC5,46.1021,3.5750048,0.0,0.0
6,Luminal-like,RP11-206M11.7,45.473606,3.605268,0.0,0.0
7,Luminal-like,MT-CO2,44.146355,2.2998664,0.0,0.0
8,Luminal-like,TFF3,42.513725,3.202766,0.0,0.0
9,Luminal-like,MT-ND4L,41.752247,3.1899116,0.0,0.0
10,Luminal-like,IGKV3-15,41.308365,2.8531718,0.0,0.0
11,Luminal-like,LINC01285,40.194996,4.0477943,0.0,0.0
12,Luminal-like,EGLN3,39.34886,2.6206903,0.0,0.0
13,Luminal-like,AZGP1,39.22166,2.3388402,0.0,0.0
14,Luminal-like,IGKV3-20,38.43608,2.424527,0.0,0.0
15,Luminal-like,C6orf203,37.248,2.6395907,1.1415641245726464e-303,1.8096795490593742e-301
16,Luminal-like,IGKV4-1,36.634636,2.478908,8.038148707638633e-294,1.2105451953703782e-291
17,Luminal-like,APOD,35.084827,3.0481036,1.1484729193838412e-269,1.6472383015162526e-267
18,Luminal-like,IGKV1-9,34.31465,2.4667974,4.7447526826703445e-258,6.495997763728671e-256
19,Luminal-like,JUNB,34.004158,1.6677212,1.933902900296872e-253,2.5325719720409468e-251
20,Luminal-like,FABP7,33.093903,2.6454103,3.6370519801769054e-240,4.5645002351220186e-238
21,Luminal-like,IGKV3-11,30.802246,2.0862434,2.445151907048691e-208,2.945919017612263e-206
22,Luminal-like,EDN1,30.706522,3.1049085,4.657684186316887e-207,5.3957479881486405e-205
24,Luminal-like,SCD,30.235115,2.015957,8.187822611168194e-201,8.80775775172807e-199
25,Luminal-like,BAMBI,26.974422,2.0458317,2.9500419945416684e-160,2.692583784108941e-158
26,Luminal-like,IGLV1-40,26.193745,2.1850722,3.131299662066983e-151,2.7739631123958103e-149
27,Luminal-like,SLPI,26.05425,1.4112235,1.204109007648423e-149,1.0362218088677287e-147
28,Luminal-like,SFN,25.979033,1.604166,8.546881046776336e-149,7.150890475802868e-147
29,Luminal-like,IGHG1,25.619293,2.099549,9.300748424908222e-145,7.571311961033396e-143
30,Luminal-like,IGHV6-1,25.258072,2.7956693,9.234011876274376e-141,7.131498402907286e-139
31,Luminal-like,RND1,24.262491,3.576216,4.881307187343103e-130,3.675624312069357e-128
32,Luminal-like,IGFBP5,23.33046,1.7075038,2.176346519824504e-120,1.5988184677344893e-118
33,Luminal-like,PDLIM3,22.38924,2.5198512,5.010476529027453e-111,3.4298989330524285e-109
34,Luminal-like,FOXA1,22.225727,2.5106516,1.937205701742526e-109,1.2684486029670626e-107
35,Luminal-like,BATF,20.998413,1.9830215,6.781283791839317e-98,4.004946427650985e-96
36,Luminal-like,AKT1,20.823166,1.6911858,2.669536412156533e-96,1.5462776295029767e-94
37,Luminal-like,EFNA1,19.328472,1.2657785,3.0944593810588364e-83,1.6643770813837884e-81
39,Luminal-like,IGKV1-5,17.429646,1.0983051,4.914920324708422e-68,2.3130843778159013e-66
